epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,6904.72,0.88271,0.6864,0.9922,0.84326,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7032.09,0.87508,0.68571,0.99234,0.84291,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7158.74,0.87255,0.68598,0.9922,0.84334,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7284.35,0.85888,0.68724,0.9922,0.84087,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7409.34,0.85728,0.68668,0.99192,0.84057,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7534.57,0.85326,0.68724,0.99206,0.83978,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7659.84,0.84074,0.68738,0.9922,0.83981,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7785.2,0.83836,0.68849,0.9922,0.83746,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7910.86,0.83297,0.68877,0.99234,0.83629,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8035.94,0.8255,0.68863,0.99262,0.83898,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8160.97,0.82307,0.68835,0.99289,0.83624,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8286.28,0.81125,0.68821,0.99303,0.83433,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8411.24,0.80966,0.68919,0.99289,0.83467,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8536.58,0.8061,0.69044,0.99303,0.83654,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8661.4,0.80105,0.69225,0.99289,0.83348,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8788.4,0.78577,0.69407,0.99276,0.83116,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8914.58,0.78439,0.69546,0.99276,0.83397,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9040.97,0.77642,0.69602,0.99317,0.83068,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9167.07,0.76317,0.69615,0.99303,0.82968,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9293.81,0.76528,0.69629,0.99317,0.83079,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9419.79,0.75362,0.69629,0.99303,0.828,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9545.64,0.74594,0.69727,0.99317,0.82932,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9670.47,0.74121,0.69811,0.99276,0.82934,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9795.8,0.72828,0.69922,0.99276,0.82717,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9920.76,0.72248,0.69936,0.99289,0.82593,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10045.6,0.72018,0.69978,0.99289,0.82456,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10171,0.7052,0.69936,0.99289,0.82778,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10295.6,0.69921,0.69992,0.99289,0.82386,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10421.1,0.69184,0.70075,0.99303,0.8226,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10545.7,0.6847,0.70075,0.99276,0.82411,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10669.8,0.67267,0.70187,0.99289,0.82688,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10794.8,0.66188,0.70284,0.99289,0.82396,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10919.5,0.65338,0.70465,0.99289,0.82548,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11044.5,0.64379,0.70563,0.99276,0.82539,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11169.1,0.63371,0.70646,0.99289,0.82345,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11293.8,0.62752,0.70688,0.99276,0.82776,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11418.1,0.62002,0.7073,0.99276,0.82931,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11542.8,0.60548,0.70814,0.99303,0.82698,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11667.6,0.59277,0.7105,0.99289,0.82808,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11791.7,0.57853,0.7112,0.99303,0.83001,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11916,0.56736,0.7112,0.99303,0.83005,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12040.2,0.55225,0.71148,0.99303,0.83097,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12164.6,0.54189,0.71148,0.99303,0.8332,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12289.2,0.52883,0.71204,0.99289,0.83452,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12434.2,0.52771,0.71036,0.99276,0.83581,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12559.9,0.50581,0.71106,0.99248,0.83959,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12684.3,0.50467,0.71106,0.9922,0.83979,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12809.7,0.48846,0.7119,0.99192,0.84455,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12935.2,0.47739,0.71245,0.99178,0.84633,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13059.5,0.4699,0.71371,0.99136,0.84805,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13184.8,0.46804,0.71371,0.99108,0.85125,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13309.8,0.44897,0.71329,0.99122,0.85617,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13434.7,0.44242,0.71357,0.99122,0.85873,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13562.2,0.43521,0.71287,0.99094,0.86126,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
